札番号,元の漢字,元のひらがな,単語数(元システム),満点スコア(元システム),決まり字,現代語発音（全体）,漢字パーツ(1句目),漢字パーツ(2句目),漢字パーツ(3句目),漢字パーツ(4句目),漢字パーツ(5句目),ひらがなパーツ(1句目),ひらがなパーツ(2句目),ひらがなパーツ(3句目),ひらがなパーツ(4句目),ひらがなパーツ(5句目)
64,朝ぼらけ　宇治の川霧　たえだえに,あさぼらけ　うぢのかはぎり　たえだえに,22,56,あさぼらけう,,朝ぼ 朝ぼら らけ ぼらけ,宇治 宇治の 川霧 の川霧,たえ たえだ えに だえに,,,あさ ぼら,うぢ のか はぎ はぎり ぢのか ぎり,だえ,,
65,恨みわび　ほさぬ袖だに　あるものを,うらみわび　ほさぬそでだに　あるものを,19,46,うら,,恨み 恨みわ わび みわび,ほさ ほさぬ だに 袖だに,ある あるも のを ものを,,,みわ,ぬそ でだ でだに さぬそ,もの,,
66,もろともに　あはれと思へ　山桜,もろともに　あはれとおもへ　やまざくら,19,45,もろ,,もろと もに ともに,あは あはれ 思へ と思へ,山桜,,,とも,れと おも おもへ はれと もへ,やま ざく ざくら くら,,
67,春の夜の　夢ばかりなる　手枕に,はるのよの　ゆめばかりなる　たまくらに,24,57,はるの,,春の 春の夜 夜の の夜の,夢ば 夢ばか なる りなる,手枕 手枕に 枕に,,,はる のよ のよの よの,ゆめ ばか りな めばか,たま くら くらに らに,,
68,心にも　あらで憂き夜に　長らへば,こころにも　あらでうきよに　ながらへば,22,54,こころに,,心に 心にも にも,あら あらで 夜に き夜に,長ら 長らへ へば らへば,,,ここ ろに ろにも,でう きよ きよに らでう よに,なが らへ,,
69,嵐吹く　三室の山の　もみぢ葉は,あらしふく　みむろのやまの　もみぢばは,25,60,あらし,,嵐吹 嵐吹く 吹く,三室 三室の 山の の山の,もみ もみぢ 葉は ぢ葉は,,,あら しふ しふく ふく,みむ ろの やま やまの むろの まの,ぢば ぢばは ばは,,
70,寂しさに　宿を立ち出でて　ながむれば,さびしさに　やどをたちいでて　ながむれば,21,49,さ,,寂し 寂しさ さに しさに,宿を 宿を立 でて 出でて,なが ながむ れば むれば,,,さび しさ,やど をた ちい いでて どをた,むれ,,
71,夕されば　門田の稲葉　訪れて,ゆふされば　かどたのいなば　おとづれて,23,54,ゆふ,ゆう,夕さ 夕され れば されば,門田 門田の 稲葉 の稲葉,訪れ 訪れて れて,,,され,かど たの いな いなば どたの なば,おと づれ づれて,,
72,音に聞く　高師の浜の　あだ波は,おとにきく　たかしのはまの　あだなみは,25,60,おと,,音に 音に聞 聞く に聞く,高師 高師の 浜の の浜の,あだ あだ波 波は だ波は,,,にき にきく きく,たか しの はま はまの かしの まの,なみ なみは みは,,
73,高砂の　尾の上の桜　咲きにけり,たかさごの　をのへのさくら　さきにけり,23,54,たか,,高砂 高砂の 砂の,尾の 尾の上 の桜 上の桜,咲き 咲きに けり にけり,,,さご さごの ごの,をの への さく さくら のへの くら,さき にけ,,
