札番号,元の漢字,元のひらがな,調整後単語数,調整後満点スコア,登録単語リスト
83,世の中よ　道こそなけれ　思ひ入る,よのなかよ　みちこそなけれ　おもひいる,13,31,道こ 道こそ けれ なけれ みち こそ なけ ちこそ 思ひ 思ひ入 入る ひ入る おも
84,長らへば　またこのごろや　しのばれむ,ながらへば　またこのごろや　しのばれむ,13,33,長らえ この頃 偲ばれ また またこ ろや ごろや この ごろ たこの しの しのば れむ
85,夜もすがら　物思ふころは　明けやらで,よもすがら　ものおもふころは　あけやらで,13,31,おもう 思う 物思 物思ふ ろは ころは もの おも ふこ のおも 明け 明けや らで
86,嘆けとて　月やは物を　思はする,なげけとて　つきやはものを　おもはする,13,31,月や 月やは 物を は物を つき やは もの ものを きやは のを 思は 思はす する
87,村雨の　露もまだ干ぬ　真木の葉に,むらさめの　つゆもまだひぬ　まきのはに,13,31,露も 露もま 干ぬ だ干ぬ つゆ もま だひ だひぬ ゆもま ひぬ 真木 真木の 葉に
88,難波江の　蘆のかりねの　ひとよゆゑ,なにはえの　あしのかりねの　ひとよゆゑ,13,31,蘆の 蘆のか ねの りねの あし のか りね しのか ひと ひとよ ゆゑ よゆゑ よゆ
89,玉の緒よ　絶えなば絶えね　ながらえば,たまのをよ　たえなばたえね　ながらえば,13,34,絶えねば 絶え 絶えな えね 絶えね たえ なば たえね えなば なが ながら えば らえば
90,見せばやな　雄島の海人の　袖だにも,みせばやな　をじまのあまの　そでだにも,13,32,おじま 雄島 雄島の 人の 海人の をじ まの あま あまの じまの 袖だ 袖だに にも
91,きりぎりす　鳴くや霜夜の　さむしろに,きりぎりす　なくやしもよの　さむしろに,13,32,しろに なくや 霜夜 鳴く 鳴くや 夜の 霜夜の なく やし もよ もよの くやし よの
92,わが袖は　潮干に見えぬ　沖の石の,わがそでは　しほひにみえぬ　おきのいしの,13,32,潮干 潮干に えぬ 見えぬ しほ ひに みえ みえぬ ほひに 沖の 沖の石 石の の石の
93,世の中は　常にもがもな　渚漕ぐ,よのなかは　つねにもがもな　なぎさこぐ,13,30,常に 常にも もな がもな つね にも がも ねにも 渚漕 渚漕ぐ 漕ぐ なぎ さこ
94,み吉野の　山の秋風　さよ更けて,みよしのの　やまのあきかぜ　さよふけて,13,31,山の 山の秋 秋風 の秋風 やま のあ きか きかぜ まのあ かぜ さよ さよ更 けて
95,おほけなく　憂き世の民に　おほふかな,おほけなく　うきよのたみに　おほふかな,13,31,おおう おお 憂き 憂き世 民に の民に うき よの たみ たみに きよの みに おほ
96,花さそふ　嵐の庭の　雪ならで,はなさそふ　あらしのにはの　ゆきならで,13,31,嵐の 嵐の庭 庭の の庭の あら しの には にはの らしの はの 雪な 雪なら らで
97,来ぬ人を　松帆の浦の　夕なぎに,こぬひとを　まつほのうらの　ゆふなぎに,13,31,松帆 松帆の 浦の の浦の まつ ほの うら うらの つほの らの 夕な 夕なぎ ぎに
98,風そよぐ　楢の小川の　夕暮は,かぜそよぐ　ならのをがはの　ゆふぐれは,13,31,楢の 楢の小 川の 小川の なら のを がは がはの らのを はの 夕暮 夕暮は 暮は
99,人も惜し　人も恨めし　あぢきなく,ひともをし　ひともうらめし　あぢきなく,13,32,あじき 人も 人も恨 めし 恨めし ひと もう らめ らめし ともう あぢ あぢき なく
100,百敷や　古き軒端の　しのぶにも,ももしきや　ふるきのきばの　しのぶにも,13,31,古き 古き軒 端の 軒端の ふる きの きば きばの るきの ばの しの しのぶ にも
0,難波津に咲くやこの花 冬ごもり今は春べと咲くやこの花,なにわづに　さくやこのはな　ふゆごもり　いまははるべと　さくやこのはな,18,42,冬ご 冬ごも の花 この花 さく やこ のは のはな くやこ はな ふゆ ごも ごもり もり いま はは るべと べと
